name,assettype,viewer,url,posterurl,licence,attribution,description
Anatomical figure – écorché,model3d,iframe,,,CC0,"""Anatomical figure – écorché"" by Virtual Museums of Małopolska (Sketchfab) — CC0 public domain",EMD-101 Wk 2 · Anatomical Terminology
Splanchnology (viscera atlas),model3d,iframe,,,CC BY-SA 4.0,"""Splanchnology"" by Z-Anatomy (Sketchfab) — CC BY-SA 4.0",EMD-101 Wk 3 · Body Systems Terminology
Prostate Cancer Cells,model3d,iframe,,,CC BY 4.0,"""Prostate Cancer Cells"" by XR Life Science (Sketchfab) — CC BY 4.0","EMD-101 Wk 4 · Pathology Terminology (-oma, -plasia)"
COX-1 with ibuprofen (PDB 1EQG),model3d,iframe,https://molstar.org/viewer/?pdb=1EQG,,CC0,RCSB PDB entry 1EQG — ovine COX-1 complexed with ibuprofen. PDB data are CC0.,"EMD-101 Wk 5 · Pharmacology Language (drug–target). NOTE: structure is OVINE COX-1, not human."
Components of blood,model3d,iframe,,,CC BY 4.0,"""Components of blood"" by arloopa (Sketchfab) — CC BY 4.0",EMD-101 Wk 6 · Lab Medicine (CBC)
Human deoxyhaemoglobin (PDB 4HHB),model3d,iframe,https://molstar.org/viewer/?pdb=4HHB,,CC0,RCSB PDB entry 4HHB — human deoxyhaemoglobin at 1.74 Å. PDB data are CC0.,EMD-101 Wk 6 · Lab Medicine (Hb / HbA1c)
VHF Skull Point Cloud (CT-derived),model3d,iframe,,,CC BY 4.0,"""VHF Skull Point Cloud"" by Terrie Simmons-Ehrhardt (Sketchfab) — CC BY 4.0",EMD-101 Wk 7 · Diagnostic Imaging Terminology
Anatomical figure – écorché (Body Regions lab),model3d,iframe,,,CC0,"""Anatomical figure – écorché"" by Virtual Museums of Małopolska — CC0 public domain",EMD-102 Wk 1 · Virtual Anatomy Lab: Body Regions (already live)
Animal cell 2.0 – annotated (English),model3d,iframe,,,CC BY 4.0,"""Animal cell 2.0 – annotated"" by montanna (Sketchfab) — CC BY 4.0",EMD-102 Wk 2 · Virtual Lab: Cell Exploration
Cardiac Muscle Cell Anatomy,model3d,iframe,,,CC BY 4.0,"""Cardiac Muscle Cell Anatomy"" by _Bonehead14 (Sketchfab) — CC BY 4.0",EMD-102 Wk 3 · Virtual Microscope Lab
Human Anatomy Skin,model3d,iframe,,,CC BY 4.0,"""Human Anatomy Skin"" by yessyekaa (Sketchfab) — CC BY 4.0",EMD-102 Wk 4 · Integumentary Lab (already live)
Human skull and neck,model3d,iframe,,,CC BY 4.0,"""Human skull and neck"" by Lassi Kaukonen (Sketchfab) — CC BY 4.0",EMD-102 Wk 5 · 3D Skeleton Lab (axial) (already live)
The human spinal column,model3d,iframe,,,CC BY 4.0,"""The human spinal column"" by 3D (Sketchfab) — CC BY 4.0",EMD-102 Wk 5 · Axial skeleton
"Human Skeleton (full, CT-derived)",model3d,iframe,,,CC BY 4.0,"""Human Skeleton"" by Terrie Simmons-Ehrhardt (Sketchfab) — CC BY 4.0",EMD-102 Wk 5–6 · Identify 100 Bones (already live wk10)
Arthrology,model3d,iframe,,,CC BY 4.0,"""Arthrology"" by Z-Anatomy (Sketchfab) — CC BY 4.0",EMD-102 Wk 6 · Virtual Joint Lab (already live)
Knee Anatomy,model3d,iframe,,,CC BY 4.0,"""Knee Anatomy"" by arloopa (Sketchfab) — CC BY 4.0",EMD-102 Wk 6 · Joint Function Analysis
Myology,model3d,iframe,,,CC BY-SA 4.0,"""Myology"" by Z-Anatomy (Sketchfab) — CC BY-SA 4.0",EMD-102 Wk 7 · Muscle Identification Lab (already live)
Muscular insertions,model3d,iframe,,,CC BY-SA 4.0,"""Muscular insertions"" by Z-Anatomy (Sketchfab) — CC BY-SA 4.0",EMD-102 Wk 7 · Muscle Mapping Exercise
Male Full Body Ecorche,model3d,iframe,,,CC BY 4.0,"""Male Full Body Ecorche"" by Diego Luján García (Sketchfab) — CC BY 4.0",EMD-102 Wk 7 · Surface muscle study
Neurology,model3d,iframe,,,CC BY-SA 4.0,"""Neurology"" by Z-Anatomy (Sketchfab) — CC BY-SA 4.0",EMD-102 Wk 8 · Brain Anatomy Lab (already live)
"Human brain, Cerebrum & Brainstem",model3d,iframe,,,CC BY 4.0,"""Human brain, Cerebrum & Brainstem"" by FrankJohansson (Sketchfab) — CC BY 4.0",EMD-102 Wk 8 · Brain Structure Worksheet
Model of a human brain,model3d,iframe,,,CC0,"""Model of a human brain"" by Science Museum Group (UK) — CC0 public domain",EMD-102 Wk 8 · Neuroanatomy
My model of eye,model3d,iframe,,,CC BY 4.0,"""My model of eye"" by evgenartist (Sketchfab) — CC BY 4.0",EMD-102 Wk 9 · Virtual Eye and Ear Lab (already live)
Inner ear,model3d,iframe,,,CC BY 4.0,"""Inner ear"" by R. van den Berg (Sketchfab) — CC BY 4.0",EMD-102 Wk 9 · Hearing
Permanent Dentition,model3d,iframe,,,CC BY 4.0,"""Permanent Dentition"" by University of Dundee, School of Dentistry — CC BY 4.0",EMD-102 Wk 9 · Taste / oral cavity
Brain Point Cloud (scan-derived),model3d,iframe,,,CC BY 4.0,"""Brain Point Cloud"" by Terrie Simmons-Ehrhardt (Sketchfab) — CC BY 4.0",EMD-102 Wk 10 · Imaging Interpretation Lab
"3D Human Thorax: blood volume, skeleton, kidneys",model3d,iframe,,,CC BY 4.0,"""3D Human Thorax"" by Advanced Visualization Lab, Indiana University — CC BY 4.0",EMD-102 Wk 10 · Radiologic anatomy
Angiology,model3d,iframe,,,CC BY-SA 4.0,"""Angiology"" by Z-Anatomy (Sketchfab) — CC BY-SA 4.0",EMD-102 Wk 10 · Vascular correlation
Realistic Human Heart,model3d,iframe,,,CC BY 4.0,"""Realistic Human Heart"" by neshallads (Sketchfab) — CC BY 4.0",EMD-102 Supplementary · any organ lab
Realistic Human Lungs,model3d,iframe,,,CC BY 4.0,"""Realistic Human Lungs"" by neshallads (Sketchfab) — CC BY 4.0",EMD-102 Supplementary
Human Cell,model3d,iframe,,,CC BY 4.0,"""Human Cell"" by markdragan (Sketchfab) — CC BY 4.0",EMD-103 Wk 1 · Cell Structure Explorer
Cell membrane,model3d,iframe,,,CC BY 4.0,"""Cell membrane"" by Lukas Ded (Sketchfab) — CC BY 4.0",EMD-103 Wk 2 · Membrane Transport Sim (already live)
Mitochondria,model3d,iframe,,,CC BY 4.0,"""Mitochondria"" by brianj.seely (Sketchfab) — CC BY 4.0",EMD-103 Wk 3 · ATP Production Sim
Mitochondrial ATP synthase (PDB 5ARA),model3d,iframe,https://molstar.org/viewer/?pdb=5ARA,,CC0,"RCSB PDB entry 5ARA — mitochondrial ATP synthase, state 1a. PDB data are CC0.","EMD-103 Wk 3 · Oxidative phosphorylation. NOTE: structure is BOVINE, not human."
DNA,model3d,iframe,,,CC BY 4.0,"""DNA"" by Holoxica (Sketchfab) — CC BY 4.0",EMD-103 Wk 4 · DNA Modeling Activity (already live)
B-DNA dodecamer (PDB 1BNA),model3d,iframe,https://molstar.org/viewer/?pdb=1BNA,,CC0,"RCSB PDB entry 1BNA — B-DNA dodecamer, conformation and dynamics. PDB data are CC0.",EMD-103 Wk 4 · Watson–Crick structure
Human 80S ribosome (PDB 4V6X),model3d,iframe,https://molstar.org/viewer/?pdb=4V6X,,CC0,RCSB PDB entry 4V6X — structure of the human 80S ribosome. PDB data are CC0.,EMD-103 Wk 5 · Protein Synthesis Sim
Human male chromosomes,model3d,iframe,,,CC BY 4.0,"""Human male chromosomes"" by yanosen (Sketchfab) — CC BY 4.0",EMD-103 Wk 6–7 · Karyotype / inheritance
Chromosome X,model3d,iframe,,,CC BY 4.0,"""Chromosome X"" by LucasPresoto (Sketchfab) — CC BY 4.0",EMD-103 Wk 7 · Chromosomal disorders
Nucleosome core particle (PDB 1KX5),model3d,iframe,https://molstar.org/viewer/?pdb=1KX5,,CC0,RCSB PDB entry 1KX5 — nucleosome core particle NCP147. PDB data are CC0.,EMD-103 Wk 8 · Genomics / chromatin
p53 tumour suppressor with DNA (PDB 1TUP),model3d,iframe,https://molstar.org/viewer/?pdb=1TUP,,CC0,RCSB PDB entry 1TUP — tumour suppressor p53 complexed with DNA. PDB data are CC0.,EMD-103 Wk 9 · Cancer Genetics
"CRISPR-Cas9, catalytically active (PDB 5F9R)",model3d,iframe,https://molstar.org/viewer/?pdb=5F9R,,CC0,RCSB PDB entry 5F9R — catalytically active Streptococcus pyogenes Cas9. PDB data are CC0.,EMD-103 Wk 10 · CRISPR Technology
